timestamp,metric_type,trigger_event,folder,duration_ms,completeness_pct,accuracy_pct,memory_mb,cpu_load,additional_data
2025-04-22T00:04:01.752Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,42.11,0,""
2025-04-22T00:04:02.472Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.14,0,""
2025-04-22T00:04:02.763Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,42.18,0,""
2025-04-22T00:04:03.486Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.22,0,""
2025-04-22T00:04:04.493Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.3,0,""
2025-04-22T00:04:05.322Z,"sbom_generation","package.json_changed","sbom-testapp-1",8905.33,,,,0,""
2025-04-22T00:04:05.343Z,"sbom_completeness","package.json_changed","sbom-testapp-1",,100,,,,""
2025-04-22T00:04:05.358Z,"vulnerability_accuracy","package.json_changed","sbom-testapp-1",,,0,,,""
2025-04-22T00:04:05.362Z,"sbom_timeliness","package.json_changed","sbom-testapp-1",8945.61,,,,,""
2025-04-22T00:04:05.366Z,"responsiveness","package.json_changed","sbom-testapp-1",8969.73,,,,,""
2025-04-22T00:04:09.387Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.32,0,""
2025-04-22T00:04:10.400Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.06,0,""
2025-04-22T00:04:11.401Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.11,0,""
2025-04-22T00:04:11.811Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",2775.43,,,,,""
2025-04-22T00:05:58.655Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-22T00:05:58.665Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":3,"medium":2,"low":0,"total":5}"
2025-04-23T20:25:56.118Z,"extension","activation","sbom-testapp-1",,,,,,""
2025-04-23T20:46:53.305Z,"extension","activation","sbom-testapp-1",,,,,,""
2025-04-23T20:47:00.352Z,"sbom_request","manual_command","sbom-testapp-1",,,,,,""
2025-04-23T20:47:07.294Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.63,0,""
2025-04-23T20:47:08.308Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.41,0,""
2025-04-23T20:47:09.319Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.45,0,""
2025-04-23T20:47:10.322Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.5,0,""
2025-04-23T20:47:11.324Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.54,0,""
2025-04-23T20:47:12.331Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.58,0,""
2025-04-23T20:47:13.336Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.39,0,""
2025-04-23T20:47:14.351Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.43,0,""
2025-04-23T20:47:15.358Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.49,0,""
2025-04-23T20:47:16.371Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.53,0,""
2025-04-23T20:47:17.386Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.57,0,""
2025-04-23T20:47:18.387Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46,0,""
2025-04-23T20:47:18.554Z,"sbom_generation","manual_command","sbom-testapp-1",18194.19,,,,,""
2025-04-23T20:47:19.388Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.81,0,""
2025-04-23T20:47:20.389Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.85,0,""
2025-04-23T20:47:21.388Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.89,0,""
2025-04-23T20:47:22.403Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.95,0,""
2025-04-23T20:47:23.420Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.99,0,""
2025-04-23T20:47:24.435Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46,0,""
